nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0072308,tt0043044,tt0050419,tt0053137
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0038355,tt0040506,tt0037382,tt0117057
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,producer	tt0059956,tt0049189,tt0057345,tt0063715
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0072562,tt0080455,tt0078723,tt0077975
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050976,tt0050986,tt0083922,tt0060827
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0071877,tt0034583,tt0038109,tt0038787
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0040897,tt0034583,tt0038355,tt0033870
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0078346,tt0068646,tt0078788,tt0047296
nm0000009	Richard Burton	1925	1984	actor,producer,soundtrack	tt0057877,tt0061184,tt0087803,tt0065207
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0042041,tt0029870,tt0035575,tt0055256
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0033891,tt0049233,tt0027996,tt0044706
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0056687,tt0042192,tt0035140,tt0030287
nm0000013	Doris Day	1922	\N	soundtrack,actress,producer	tt2073386,tt0117665,tt0062558,tt0049470
nm0000014	Olivia de Havilland	1916	\N	actress,soundtrack	tt0058213,tt0041452,tt0031381,tt0029843
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0045395,tt0048028,tt0048545,tt0049261
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0069946,tt0096320,tt0091763,tt0079477
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0055031,tt0042994,tt0051201,tt0020697
nm0000018	Kirk Douglas	1916	\N	actor,producer,soundtrack	tt0043465,tt0049456,tt0044391,tt0054331
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0071129,tt0056801,tt0053779,tt0050783
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0064116,tt0032551,tt0050083,tt0052462
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0044760,tt0040536,tt0034248,tt0032976
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0055184,tt0031381,tt0025316
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0040308,tt0047522,tt0032138,tt0037059
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0071877,tt0076574,tt0082031
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0112178,tt0100802,tt0092455,tt0120762
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0038787,tt0053125,tt0056923,tt0032599
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0050212,tt0076759,tt0041546,tt0051739
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0036723,tt0038559,tt0050815,tt0040525
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0074802,tt0087864,tt0084786,tt0077800
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0047437,tt0046250,tt0058385,tt0054698
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0061735,tt0032904,tt0043265,tt0063227
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0052618,tt0063442,tt0250764,tt0052311
nm0000033	Alfred Hitchcock	1899	1980	actor,director,producer	tt0047396,tt0053125,tt0054215,tt0052357
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0050212,tt0043014,tt0074958,tt0065214
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0112573,tt0499549,tt0120338,tt0948470
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0016332,tt0017925,tt0018742,tt0019421
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,director	tt0041716,tt0041944,tt0043278,tt0045152
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0047396,tt0048728,tt0044706,tt0046912
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0039192,tt0045793,tt0049408,tt0050490
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0066921,tt0120663,tt0072684,tt0062622
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0089881,tt0047478,tt0042876,tt0055630
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0035432,tt0052097,tt0046303,tt0038369
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0034240,tt0038369,tt0035432,tt0034881
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0055031,tt0080388,tt0057091,tt0045793
nm0000045	Bruce Lee	1940	1973	actor,miscellaneous,producer	tt0067824,tt0070034,tt0068935,tt0068767
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0033238,tt0031381,tt0044081,tt0059712
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0076085,tt0054749,tt0057171,tt0054847
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0034583,tt0033870,tt0025452,tt0022100
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0057413,tt0054698,tt0051301,tt0056059
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0023969,tt0020640,tt0042171,tt0026778
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0047522,tt0046672,tt0056193,tt0053125
nm0000052	Marcello Mastroianni	1924	1996	actor,soundtrack,producer	tt0056801,tt0054130,tt0055913,tt0053779
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0056197,tt0048424,tt0039689,tt0050490
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0053291,tt0045810,tt0045891,tt0048605
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0042192,tt0029852,tt0056085,tt0061439
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0090863,tt0054997,tt0061512,tt0084855
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0057413,tt0074937,tt0054953,tt0052182
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0033729,tt0055277,tt0045061,tt0039628
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0032976,tt0069281,tt0082186,tt0054331
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0056592,tt0054953,tt0046250,tt0075005
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0043959,tt0032762,tt0051201,tt0038873
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0056023,tt0054692,tt0053848,tt0058725
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0074896,tt0057831,tt0056172,tt0047528
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0036775,tt0049833,tt0038991,tt0040506
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0056801,tt0071562,tt0068646,tt0063518
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0459474,tt0045810,tt0043643,tt0036241
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0038109,tt0036775,tt0080025
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0056412,tt0051047,tt0049743,tt0026942
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0041944,tt0045793,tt0056218,tt0050815
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0031381,tt0034583,tt0407887,tt0027125
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0052561,tt0052357,tt0032904,tt0031679
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0061184,tt0043924,tt0049261,tt0051459
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0040369,tt0031580,tt0051312,tt0028988
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0039420,tt0037865,tt0037008,tt0035979
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0053946,tt0055031,tt0057193,tt0061735
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0055032,tt0053198,tt0054389,tt0080610
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0057779,tt0046359,tt0048380,tt0053131
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0056217,tt0053221,tt0049730,tt0065126
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0072281,tt0250494,tt0073012,tt0060397
nm0000080	Orson Welles	1915	1985	actor,writer,director	tt0048393,tt0052311,tt0072962,tt0033467
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0055614,tt0057263,tt0048545,tt0055471
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0120663,tt0119094,tt0112641,tt3315342
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt1617108,tt0424773,tt5969604,tt0969216
nm0000084	Li Gong	1965	\N	actress	tt0367959,tt0430357,tt0101640,tt0212712
nm0000085	Henner Hofmann	\N	\N	cinematographer,producer,camera_department	tt0208675,tt0829176,tt0249313,tt0272147
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0069747,tt0074103,tt0060474,tt0058135
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt0072096,tt0080037,tt0148059,tt0122969
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0076551,tt0191104,tt0100069,tt0068304
nm0000089	Richard Paul	1940	1998	actor	tt0075489,tt0117318,tt0083869,tt0076009
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0963178,tt0119174,tt0139809,tt0808151
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0421974,tt0282552,tt0064297,tt0152930
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0085959,tt0095159,tt0071853,tt0079470
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0816711,tt0114746,tt0356910,tt1210166
nm0000094	J. Reifel	\N	\N	writer	tt0116030,tt0117915,tt0118631,tt0118886
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0097123,tt0091167,tt0079522,tt0075686
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt2294189,tt0442632,tt0455590,tt0106179
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0134269,tt0306047,tt1469304,tt0096542
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt0151804,tt1723121,tt0129167,tt0108778
nm0000099	Patricia Arquette	1968	\N	actress,director,soundtrack	tt1065073,tt0108399,tt0145531,tt0412175
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0110357,tt0274166,tt0453451,tt0118689
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0087332,tt0097428,tt0080455,tt0086465
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0327056,tt0361127,tt0164052,tt0087277
