tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0228333	movie	Ghosts of Mars	Ghosts of Mars	0	2001	\N	98	Action,Horror,Sci-Fi
tt0230030	movie	Bedazzled	Bedazzled	0	2000	\N	93	Comedy,Fantasy
tt0230600	movie	The Others	The Others	0	2001	\N	101	Horror,Mystery,Thriller
tt0234215	movie	The Matrix Reloaded	The Matrix Reloaded	0	2003	\N	138	Action,Sci-Fi
tt0236348	movie	Josie and the Pussycats	Josie and the Pussycats	0	2001	\N	98	Comedy,Music
tt0240772	movie	Ocean's Eleven	Ocean's Eleven	0	2001	\N	116	Crime,Thriller
tt0243155	movie	Bridget Jones's Diary	Bridget Jones's Diary	0	2001	\N	97	Comedy,Drama,Romance
tt0243655	movie	Wet Hot American Summer	Wet Hot American Summer	0	2001	\N	97	Comedy,Romance
tt0249313	tvSeries	Resurrection Blvd.	Resurrection Blvd.	0	2000	2002	60	Drama
tt0250223	movie	Asterix and Obelix Meet Cleopatra	Astérix & Obélix: Mission Cléopâtre	0	2002	\N	107	Adventure,Comedy,Family
tt0250494	movie	Legally Blonde	Legally Blonde	0	2001	\N	96	Comedy,Romance
tt0250764	tvSeries	Sworn to Secrecy: Secrets of War	Sworn to Secrecy: Secrets of War	0	1998	\N	53	Documentary,War
tt0250797	movie	Unfaithful	Unfaithful	0	2002	\N	124	Drama,Thriller
tt0251075	movie	Evolution	Evolution	0	2001	\N	101	Comedy,Sci-Fi
tt0252076	movie	Maid in Manhattan	Maid in Manhattan	0	2002	\N	105	Comedy,Drama,Romance
tt0257044	movie	Road to Perdition	Road to Perdition	0	2002	\N	117	Crime,Drama,Thriller
tt0258000	movie	Panic Room	Panic Room	0	2002	\N	112	Crime,Drama,Thriller
tt0259711	movie	Vanilla Sky	Vanilla Sky	0	2001	\N	136	Fantasy,Mystery,Romance
tt0261289	movie	Serving Sara	Serving Sara	0	2002	\N	99	Comedy,Romance
tt0261983	movie	Session 9	Session 9	0	2001	\N	100	Horror,Mystery
tt0264262	tvMiniSeries	Jack and the Beanstalk: The Real Story	Jack and the Beanstalk: The Real Story	0	2001	\N	180	Adventure,Drama,Fantasy
tt0264464	movie	Catch Me If You Can	Catch Me If You Can	0	2002	\N	141	Biography,Crime,Drama
tt0264616	movie	Frailty	Frailty	0	2001	\N	100	Crime,Drama,Thriller
tt0265666	movie	The Royal Tenenbaums	The Royal Tenenbaums	0	2001	\N	110	Comedy,Drama
tt0266221	tvSpecial	The 71st Annual Academy Awards	The 71st Annual Academy Awards	0	1999	\N	\N	Family
tt0266543	movie	Finding Nemo	Finding Nemo	0	2003	\N	100	Adventure,Animation,Comedy
tt0266697	movie	Kill Bill: Vol. 1	Kill Bill: Vol. 1	0	2003	\N	111	Action,Crime,Thriller
tt0267913	movie	Scooby-Doo	Scooby-Doo	0	2002	\N	86	Adventure,Comedy,Family
tt0268978	movie	A Beautiful Mind	A Beautiful Mind	0	2001	\N	135	Biography,Drama
tt0271027	movie	Kiss of the Dragon	Kiss of the Dragon	0	2001	\N	98	Action,Crime,Drama
tt0271367	movie	Eight Legged Freaks	Eight Legged Freaks	0	2002	\N	99	Action,Comedy,Horror
tt0272147	movie	Vampires: Los Muertos	Vampires: Los Muertos	0	2002	\N	93	Action,Horror,Thriller
tt0273435	movie	Ararat	Ararat	0	2002	\N	115	Drama,War
tt0274166	movie	Johnny English	Johnny English	0	2003	\N	88	Action,Adventure,Comedy
tt0274558	movie	The Hours	The Hours	0	2002	\N	110	Drama,Romance
tt0274812	movie	Secretary	Secretary	0	2002	\N	107	Comedy,Drama,Romance
tt0275719	movie	Tape	Tape	0	2001	\N	86	Drama
tt0275847	movie	Lilo & Stitch	Lilo & Stitch	0	2002	\N	85	Adventure,Animation,Comedy
tt0276751	movie	About a Boy	About a Boy	0	2002	\N	101	Comedy,Drama,Romance
tt0277371	movie	Not Another Teen Movie	Not Another Teen Movie	0	2001	\N	89	Comedy
tt0277434	movie	We Were Soldiers	We Were Soldiers	0	2002	\N	138	Action,Drama,History
tt0280707	movie	Gosford Park	Gosford Park	0	2001	\N	131	Comedy,Drama,Mystery
tt0282552	movie	Riders	Riders	0	2002	\N	83	Action,Crime,Thriller
tt0283084	movie	Tuck Everlasting	Tuck Everlasting	0	2002	\N	90	Drama,Family,Fantasy
tt0283832	movie	8 Women	8 femmes	0	2002	\N	111	Comedy,Crime,Musical
tt0285371	tvSeries	Heathcliff & the Catillac Cats	Heathcliff & the Catillac Cats	0	1984	1987	30	Animation,Comedy,Family
tt0286106	movie	Signs	Signs	0	2002	\N	106	Drama,Mystery,Sci-Fi
tt0286716	movie	Hulk	Hulk	0	2003	\N	138	Action,Sci-Fi
tt0287467	movie	Talk to Her	Hable con ella	0	2002	\N	112	Drama,Mystery,Romance
tt0288477	movie	Ghost Ship	Ghost Ship	0	2002	\N	91	Horror
tt0293508	movie	The Phantom of the Opera	The Phantom of the Opera	0	2004	\N	143	Drama,Musical,Romance
tt0295178	movie	Austin Powers in Goldmember	Austin Powers in Goldmember	0	2002	\N	94	Action,Adventure,Comedy
tt0295923	video	Dead Sexy	Dead Sexy	0	2001	\N	89	Crime,Drama,Mystery
tt0298148	movie	Shrek 2	Shrek 2	0	2004	\N	93	Adventure,Animation,Comedy
tt0298203	movie	8 Mile	8 Mile	0	2002	\N	110	Drama,Music
tt0299658	movie	Chicago	Chicago	0	2002	\N	113	Comedy,Crime,Musical
tt0305357	movie	Charlie's Angels: Full Throttle	Charlie's Angels: Full Throttle	0	2003	\N	106	Action,Adventure,Comedy
tt0306047	movie	Scary Movie 3	Scary Movie 3	0	2003	\N	84	Comedy
tt0308055	movie	Bobby	Bobby	0	2006	\N	117	Biography,Drama,History
tt0309698	movie	Identity	Identity	0	2003	\N	90	Mystery,Thriller
tt0310357	movie	Willard	Willard	0	2003	\N	100	Drama,Horror,Sci-Fi
tt0313043	tvSeries	CSI: Miami	CSI: Miami	0	2002	2012	43	Action,Crime,Drama
tt0313162	tvSpecial	The 74th Annual Academy Awards	The 74th Annual Academy Awards	0	2002	\N	256	Family
tt0314331	movie	Love Actually	Love Actually	0	2003	\N	135	Comedy,Drama,Romance
tt0315064	tvSeries	She Spies	She Spies	0	2002	2004	60	Action,Adventure,Comedy
tt0315327	movie	Bruce Almighty	Bruce Almighty	0	2003	\N	101	Comedy,Drama,Fantasy
tt0315983	movie	House of Sand and Fog	House of Sand and Fog	0	2003	\N	126	Drama
tt0316654	movie	Spider-Man 2	Spider-Man 2	0	2004	\N	127	Action,Adventure,Sci-Fi
tt0317705	movie	The Incredibles	The Incredibles	0	2004	\N	115	Action,Adventure,Animation
tt0318374	movie	The Cooler	The Cooler	0	2003	\N	101	Crime,Drama,Fantasy
tt0319061	movie	Big Fish	Big Fish	0	2003	\N	125	Adventure,Drama,Fantasy
tt0319262	movie	The Day After Tomorrow	The Day After Tomorrow	0	2004	\N	124	Action,Adventure,Sci-Fi
tt0319931	tvSeries	American Idol	American Idol: The Search for a Superstar	0	2002	\N	42	Game-Show,Music,Reality-TV
tt0320691	movie	Underworld	Underworld	0	2003	\N	121	Action,Fantasy,Thriller
tt0320970	tvSeries	Still Standing	Still Standing	0	2002	2006	30	Comedy,Romance
tt0322330	movie	Freaky Friday	Freaky Friday	0	2003	\N	97	Comedy,Family,Fantasy
tt0325710	movie	The Last Samurai	The Last Samurai	0	2003	\N	154	Action,Drama,History
tt0325980	movie	Pirates of the Caribbean: The Curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl	0	2003	\N	143	Action,Adventure,Fantasy
tt0327056	movie	Mystic River	Mystic River	0	2003	\N	138	Crime,Drama,Mystery
tt0327437	movie	Around the World in 80 Days	Around the World in 80 Days	0	2004	\N	120	Action,Adventure,Comedy
tt0327597	movie	Coraline	Coraline	0	2009	\N	100	Animation,Family,Fantasy
tt0328589	movie	Under the Tuscan Sun	Under the Tuscan Sun	0	2003	\N	113	Comedy,Drama,Romance
tt0329028	movie	Dumb and Dumberer: When Harry Met Lloyd	Dumb and Dumberer: When Harry Met Lloyd	0	2003	\N	85	Comedy
tt0329101	movie	Freddy vs. Jason	Freddy vs. Jason	0	2003	\N	97	Action,Horror,Thriller
tt0330251	tvSeries	The L Word	The L Word	0	2004	2009	50	Drama,Romance
tt0331632	movie	Scooby-Doo 2: Monsters Unleashed	Scooby-Doo 2: Monsters Unleashed	0	2004	\N	93	Adventure,Comedy,Family
tt0335266	movie	Lost in Translation	Lost in Translation	0	2003	\N	102	Drama
tt0337741	movie	Something's Gotta Give	Something's Gotta Give	0	2003	\N	128	Comedy,Drama,Romance
tt0337921	movie	Cellular	Cellular	0	2004	\N	94	Action,Crime,Thriller
tt0338013	movie	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	0	2004	\N	108	Drama,Romance,Sci-Fi
tt0338067	short	Give or Take an Inch	Give or Take an Inch	0	2003	\N	14	Drama,Short
tt0338427	movie	Shopgirl	Shopgirl	0	2005	\N	106	Drama,Romance
tt0338512	movie	Two Brothers	Deux frères	0	2004	\N	109	Adventure,Drama,Family
tt0338751	movie	The Aviator	The Aviator	0	2004	\N	170	Biography,Drama,History
tt0340855	movie	Monster	Monster	0	2003	\N	109	Biography,Crime,Drama
tt0343660	movie	50 First Dates	50 First Dates	0	2004	\N	99	Comedy,Drama,Romance
tt0343818	movie	I, Robot	I, Robot	0	2004	\N	115	Action,Crime,Drama
tt0343996	movie	The Lost City	The Lost City	0	2005	\N	144	Drama,Romance
tt0344510	movie	A Very Long Engagement	Un long dimanche de fiançailles	0	2004	\N	133	Drama,Mystery,Romance
tt0346156	movie	Sky Captain and the World of Tomorrow	Sky Captain and the World of Tomorrow	0	2004	\N	106	Action,Adventure,Mystery
tt0346491	movie	Alexander	Alexander	0	2004	\N	175	Action,Adventure,Biography
tt0347457	movie	Daybreak	Om jag vänder mig om	0	2003	\N	110	Drama
tt0348150	movie	Superman Returns	Superman Returns	0	2006	\N	154	Action,Adventure,Sci-Fi
tt0350258	movie	Ray	Ray	0	2004	\N	152	Biography,Drama,Music
tt0352248	movie	Cinderella Man	Cinderella Man	0	2005	\N	144	Biography,Drama,Sport
tt0356680	movie	The Family Stone	The Family Stone	0	2005	\N	103	Comedy,Drama,Romance
tt0356910	movie	Mr. & Mrs. Smith	Mr. & Mrs. Smith	0	2005	\N	120	Action,Comedy,Crime
tt0358135	movie	Shall We Dance	Shall We Dance	0	2004	\N	106	Comedy,Drama,Music
tt0361127	movie	The Woodsman	The Woodsman	0	2004	\N	87	Drama
tt0361862	movie	The Machinist	The Machinist	0	2004	\N	101	Drama,Thriller
tt0362269	movie	Kinsey	Kinsey	0	2004	\N	118	Biography,Drama,Romance
tt0363988	movie	Secret Window	Secret Window	0	2004	\N	96	Drama,Mystery,Thriller
tt0364845	tvSeries	NCIS	NCIS: Naval Criminal Investigative Service	0	2003	\N	60	Action,Comedy,Crime
tt0365485	movie	The Matador	The Matador	0	2005	\N	96	Comedy,Crime,Drama
tt0365737	movie	Syriana	Syriana	0	2005	\N	128	Drama,Thriller
tt0367089	movie	The Squid and the Whale	The Squid and the Whale	0	2005	\N	81	Comedy,Drama
tt0367594	movie	Charlie and the Chocolate Factory	Charlie and the Chocolate Factory	0	2005	\N	115	Adventure,Comedy,Family
tt0367882	movie	Indiana Jones and the Kingdom of the Crystal Skull	Indiana Jones and the Kingdom of the Crystal Skull	0	2008	\N	122	Action,Adventure,Fantasy
tt0367959	movie	Hannibal Rising	Hannibal Rising	0	2007	\N	121	Crime,Drama,Horror
tt0369179	tvSeries	Two and a Half Men	Two and a Half Men	0	2003	2015	22	Comedy,Romance
tt0369441	movie	Fun with Dick and Jane	Fun with Dick and Jane	0	2005	\N	90	Comedy,Crime
tt0369610	movie	Jurassic World	Jurassic World	0	2015	\N	124	Action,Adventure,Sci-Fi
tt0369735	movie	Monster-in-Law	Monster-in-Law	0	2005	\N	101	Comedy,Romance
tt0370263	movie	AVP: Alien vs. Predator	AVP: Alien vs. Predator	0	2004	\N	101	Action,Horror,Sci-Fi
tt0371746	movie	Iron Man	Iron Man	0	2008	\N	126	Action,Adventure,Sci-Fi
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Adventure,Thriller
tt0373469	movie	Kiss Kiss Bang Bang	Kiss Kiss Bang Bang	0	2005	\N	103	Comedy,Crime,Mystery
tt0373759	video	Cindy Crawford Shape Your Body Workout	Cindy Crawford Shape Your Body Workout	0	1992	\N	100	Documentary,Sport
tt0373883	movie	Halloween	Halloween	0	2007	\N	109	Fantasy,Horror
tt0375679	movie	Crash	Crash	0	2004	\N	112	Crime,Drama,Thriller
tt0376541	movie	Closer	Closer	0	2004	\N	104	Drama,Romance
tt0376994	movie	X-Men: The Last Stand	X-Men: The Last Stand	0	2006	\N	104	Action,Adventure,Fantasy
tt0377092	movie	Mean Girls	Mean Girls	0	2004	\N	97	Comedy
tt0378194	movie	Kill Bill: Vol. 2	Kill Bill: Vol. 2	0	2004	\N	137	Action,Crime,Thriller
tt0379725	movie	Capote	Capote	0	2005	\N	114	Biography,Crime,Drama
tt0379786	movie	Serenity	Serenity	0	2005	\N	119	Action,Adventure,Sci-Fi
tt0380136	tvSeries	QI	QI	0	2003	\N	30	Comedy,Game-Show
tt0380510	movie	The Lovely Bones	The Lovely Bones	0	2009	\N	135	Drama,Fantasy,Thriller
tt0381681	movie	Before Sunset	Before Sunset	0	2004	\N	80	Drama,Romance
tt0382932	movie	Ratatouille	Ratatouille	0	2007	\N	111	Adventure,Animation,Comedy
tt0383574	movie	Pirates of the Caribbean: Dead Man's Chest	Pirates of the Caribbean: Dead Man's Chest	0	2006	\N	151	Action,Adventure,Fantasy
tt0384537	movie	Silent Hill	Silent Hill	0	2006	\N	125	Adventure,Horror,Mystery
tt0387131	movie	The Constant Gardener	The Constant Gardener	0	2005	\N	129	Drama,Mystery,Romance
tt0387564	movie	Saw	Saw	0	2004	\N	103	Crime,Horror,Mystery
tt0387575	movie	Seed of Chucky	Seed of Chucky	0	2004	\N	87	Comedy,Fantasy,Horror
tt0387877	movie	The Black Dahlia	The Black Dahlia	0	2006	\N	121	Crime,Drama,Mystery
tt0387898	movie	Caché	Caché	0	2005	\N	117	Drama,Mystery,Thriller
tt0388125	movie	In Her Shoes	In Her Shoes	0	2005	\N	130	Comedy,Drama,Romance
tt0388482	movie	Transporter 2	Transporter 2	0	2005	\N	87	Action,Crime,Thriller
tt0388795	movie	Brokeback Mountain	Brokeback Mountain	0	2005	\N	134	Drama
tt0395251	movie	The Producers	The Producers	0	2005	\N	134	Comedy,Musical
tt0395584	movie	The Devil's Rejects	The Devil's Rejects	0	2005	\N	107	Crime,Horror
tt0395972	movie	North Country	North Country	0	2005	\N	126	Drama
tt0396269	movie	Wedding Crashers	Wedding Crashers	0	2005	\N	119	Comedy,Romance
tt0399146	movie	A History of Violence	A History of Violence	0	2005	\N	96	Crime,Drama,Thriller
tt0401855	movie	Underworld: Evolution	Underworld: Evolution	0	2006	\N	106	Action,Adventure,Fantasy
tt0402711	tvSeries	Boston Legal	Boston Legal	0	2004	2008	44	Comedy,Crime,Drama
tt0405159	movie	Million Dollar Baby	Million Dollar Baby	0	2004	\N	132	Drama,Sport
tt0407362	tvSeries	Battlestar Galactica	Battlestar Galactica	0	2004	2009	44	Action,Adventure,Drama
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller
tt0408236	movie	Sweeney Todd: The Demon Barber of Fleet Street	Sweeney Todd: The Demon Barber of Fleet Street	0	2007	\N	116	Drama,Horror,Musical
tt0410975	tvSeries	Desperate Housewives	Desperate Housewives	0	2004	2012	45	Comedy,Drama,Mystery
tt0412019	movie	Broken Flowers	Broken Flowers	0	2005	\N	106	Comedy,Drama,Mystery
tt0412142	tvSeries	House	House M.D.	0	2004	2012	44	Drama,Mystery
tt0412175	tvSeries	Medium	Medium	0	2005	2011	60	Crime,Drama,Fantasy
tt0413267	movie	Shrek the Third	Shrek the Third	0	2007	\N	93	Adventure,Animation,Comedy
tt0413300	movie	Spider-Man 3	Spider-Man 3	0	2007	\N	139	Action,Adventure,Sci-Fi
tt0417148	movie	Snakes on a Plane	Snakes on a Plane	0	2006	\N	105	Action,Adventure,Crime
tt0420251	movie	Three... Extremes	Saam gaang yi	0	2004	\N	118	Horror
tt0421974	movie	Sky Fighters	Les chevaliers du ciel	0	2005	\N	102	Action,Adventure
tt0424773	movie	Addo: The King of the Beasts	Addo, koning der dieren	0	2002	\N	77	Documentary
tt0424971	movie	Drabet	Drabet	0	2005	\N	100	Drama
tt0425061	movie	Get Smart	Get Smart	0	2008	\N	110	Action,Adventure,Comedy
tt0425637	movie	Red Cliff	Chi bi	0	2008	\N	146	Action,Adventure,Drama
tt0427309	movie	The Great Debaters	The Great Debaters	0	2007	\N	126	Biography,Drama,Romance
tt0430357	movie	Miami Vice	Miami Vice	0	2006	\N	134	Action,Crime,Thriller
tt0430922	movie	Role Models	Role Models	0	2008	\N	99	Comedy
tt0431308	movie	P.S. I Love You	P.S. I Love You	0	2007	\N	126	Drama,Romance
tt0432021	movie	Resident Evil: Extinction	Resident Evil: Extinction	0	2007	\N	94	Action,Horror,Sci-Fi
tt0434409	movie	V for Vendetta	V for Vendetta	0	2005	\N	132	Action,Drama,Sci-Fi
tt0435705	movie	Next	Next	0	2007	\N	96	Action,Sci-Fi,Thriller
tt0435761	movie	Toy Story 3	Toy Story 3	0	2010	\N	103	Adventure,Animation,Comedy
tt0436058	video	American Pie Presents: Band Camp	Band Camp	0	2005	\N	87	Comedy,Music
tt0441909	movie	Volver	Volver	0	2006	\N	121	Comedy,Crime,Drama
tt0442632	tvMiniSeries	Bleak House	Bleak House	0	2005	2005	510	Drama
tt0443272	movie	Lincoln	Lincoln	0	2012	\N	150	Biography,Drama,History
tt0443706	movie	Zodiac	Zodiac	0	2007	\N	157	Crime,Drama,History
tt0449059	movie	Little Miss Sunshine	Little Miss Sunshine	0	2006	\N	101	Comedy,Drama
tt0449088	movie	Pirates of the Caribbean: At World's End	Pirates of the Caribbean: At World's End	0	2007	\N	169	Action,Adventure,Fantasy
tt0450385	movie	1408	1408	0	2007	\N	104	Drama,Horror
tt0452608	movie	Death Race	Death Race	0	2008	\N	105	Action,Sci-Fi,Thriller
tt0453451	movie	Mr. Bean's Holiday	Mr. Bean's Holiday	0	2007	\N	90	Comedy,Family
tt0454848	movie	Inside Man	Inside Man	0	2006	\N	129	Crime,Drama,Mystery
tt0454876	movie	Life of Pi	Life of Pi	0	2012	\N	127	Adventure,Drama,Fantasy
tt0455590	movie	The Last King of Scotland	The Last King of Scotland	0	2006	\N	123	Biography,Drama,History
tt0455596	tvMovie	The Librarian: Return to King Solomon's Mines	The Librarian: Return to King Solomon's Mines	0	2006	\N	92	Action,Adventure,Comedy
tt0459474	tvMovie	Männer im Trenchcoat, Frauen im Pelz	Männer im Trenchcoat, Frauen im Pelz	0	2004	\N	\N	Documentary
tt0460227	short	The Guiding Hand	The Guiding Hand	0	1916	\N	\N	Drama,Short
tt0460649	tvSeries	How I Met Your Mother	How I Met Your Mother	0	2005	2014	22	Comedy,Romance
tt0462128	tvSeries	The New Adventures of Old Christine	The New Adventures of Old Christine	0	2006	2010	22	Comedy
tt0462200	movie	Black Snake Moan	Black Snake Moan	0	2006	\N	116	Drama,Music
tt0462322	movie	Grindhouse	Grindhouse	0	2007	\N	191	Action,Horror,Thriller
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Thriller
tt0469494	movie	There Will Be Blood	There Will Be Blood	0	2007	\N	158	Drama
tt0470705	movie	Bug	Bug	0	2006	\N	102	Drama,Horror,Thriller
tt0472062	movie	Charlie Wilson's War	Charlie Wilson's War	0	2007	\N	102	Biography,Comedy,Drama
tt0472607	tvSeries	La nany	La nany	0	2005	2006	\N	Comedy
tt0473444	movie	Curse of the Golden Flower	Man cheng jin dai huang jin jia	0	2006	\N	111	Action,Drama,Romance
tt0475394	movie	Smokin' Aces	Smokin' Aces	0	2006	\N	109	Action,Crime,Drama
tt0477348	movie	No Country for Old Men	No Country for Old Men	0	2007	\N	122	Crime,Drama,Thriller
tt0478970	movie	Ant-Man	Ant-Man	0	2015	\N	117	Action,Adventure,Comedy
tt0480249	movie	I Am Legend	I Am Legend	0	2007	\N	101	Drama,Horror,Sci-Fi
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi
tt0482606	movie	The Strangers	The Strangers	0	2008	\N	86	Horror,Mystery,Thriller
tt0490215	movie	Silence	Silence	0	2016	\N	161	Adventure,Drama,History
